latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-35.10923,148.54201,333.26,0.7,0.75,2024-09-16,249,N20,nominal,2.0NRT,282.79,9.92,D
-35.1111,148.53569,325.87,0.7,0.75,2024-09-16,249,N20,nominal,2.0NRT,282.4,6.87,D
-34.61674,150.24953,326.07,0.56,0.69,2024-09-16,249,N20,nominal,2.0NRT,287.55,3.33,D
-34.45667,150.87975,325.16,0.51,0.66,2024-09-16,249,N20,nominal,2.0NRT,293.91,4.13,D
-33.62326,147.5986,327.04,0.78,0.78,2024-09-16,251,N20,nominal,2.0NRT,291.35,6.43,D
-33.62151,147.60237,333.08,0.78,0.78,2024-09-16,251,N20,nominal,2.0NRT,290.86,6.09,D
-33.37455,147.55409,334.17,0.78,0.78,2024-09-16,251,N20,nominal,2.0NRT,291.74,8.49,D
-33.37314,147.54948,337.11,0.78,0.78,2024-09-16,251,N20,nominal,2.0NRT,293.26,7.31,D
-31.6804,150.25003,332.54,0.53,0.67,2024-09-16,251,N20,nominal,2.0NRT,292.88,3.65,D
-31.3941,152.74496,328.17,0.37,0.58,2024-09-16,251,N20,nominal,2.0NRT,295.4,2.78,D
-31.65736,147.73384,330.17,0.74,0.76,2024-09-16,251,N20,nominal,2.0NRT,293.08,3.39,D
-31.32178,151.49936,336.82,0.44,0.63,2024-09-16,251,N20,nominal,2.0NRT,287.8,3.62,D
-31.3011,149.29103,339.54,0.6,0.71,2024-09-16,251,N20,nominal,2.0NRT,293.38,7.63,D
-31.30137,149.28473,330.77,0.6,0.71,2024-09-16,251,N20,nominal,2.0NRT,297.0,6.97,D
-31.30237,149.28549,334.83,0.6,0.71,2024-09-16,251,N20,nominal,2.0NRT,295.79,10.86,D
-30.92276,152.60034,325.65,0.38,0.58,2024-09-16,251,N20,nominal,2.0NRT,295.3,1.2,D
-30.56669,152.06355,340.05,0.4,0.6,2024-09-16,251,N20,nominal,2.0NRT,291.52,5.0,D
-30.56107,152.06361,351.88,0.4,0.6,2024-09-16,251,N20,nominal,2.0NRT,294.09,5.0,D
-30.41569,149.17947,348.0,0.6,0.7,2024-09-16,251,N20,nominal,2.0NRT,296.04,15.7,D
-30.416,149.17313,354.16,0.6,0.71,2024-09-16,251,N20,nominal,2.0NRT,304.02,21.6,D
-30.40914,149.17903,367.0,0.6,0.7,2024-09-16,251,N20,high,2.0NRT,297.73,16.96,D
-30.40944,149.1727,347.89,0.6,0.71,2024-09-16,251,N20,nominal,2.0NRT,304.72,37.22,D
-30.40258,149.17862,336.95,0.6,0.7,2024-09-16,251,N20,nominal,2.0NRT,296.77,16.96,D
-30.39603,149.17818,334.68,0.6,0.7,2024-09-16,251,N20,nominal,2.0NRT,297.01,7.76,D
-30.39632,149.17186,341.7,0.6,0.71,2024-09-16,251,N20,nominal,2.0NRT,298.59,7.72,D
-29.53851,152.09673,345.35,0.39,0.59,2024-09-16,251,N20,nominal,2.0NRT,295.22,5.57,D
-29.539,152.09363,333.13,0.39,0.59,2024-09-16,251,N20,nominal,2.0NRT,294.07,5.68,D
-29.38487,152.70148,335.83,0.36,0.57,2024-09-16,251,N20,nominal,2.0NRT,294.82,4.44,D
-29.36024,152.6906,367.0,0.36,0.57,2024-09-16,251,N20,high,2.0NRT,298.27,5.29,D
-29.35492,152.69017,367.0,0.36,0.57,2024-09-16,251,N20,high,2.0NRT,298.58,5.29,D
-29.35464,152.69386,333.59,0.36,0.57,2024-09-16,251,N20,nominal,2.0NRT,294.94,5.29,D
-29.43104,148.49878,337.51,0.65,0.73,2024-09-16,251,N20,nominal,2.0NRT,298.54,4.34,D
-29.43133,148.49194,328.99,0.65,0.73,2024-09-16,251,N20,nominal,2.0NRT,302.87,4.34,D
-29.42842,148.49994,326.56,0.65,0.73,2024-09-16,251,N20,nominal,2.0NRT,295.71,4.04,D
-29.42875,148.49313,338.48,0.65,0.73,2024-09-16,251,N20,nominal,2.0NRT,303.12,6.89,D
-28.72933,152.6507,341.92,0.36,0.57,2024-09-16,251,N20,nominal,2.0NRT,295.62,2.74,D
-28.65856,151.84433,344.1,0.4,0.6,2024-09-16,251,N20,nominal,2.0NRT,296.9,4.91,D
-28.65301,151.84384,327.36,0.4,0.6,2024-09-16,251,N20,nominal,2.0NRT,294.03,2.17,D
-28.0768,152.98915,346.67,0.33,0.56,2024-09-16,251,N20,nominal,2.0NRT,301.18,4.6,D
-28.28671,149.50801,333.5,0.55,0.68,2024-09-16,251,N20,nominal,2.0NRT,298.82,9.6,D
-28.28704,149.5024,332.93,0.55,0.68,2024-09-16,251,N20,nominal,2.0NRT,301.45,6.85,D
-28.03994,152.74068,330.44,0.34,0.56,2024-09-16,251,N20,nominal,2.0NRT,299.14,1.47,D
-28.02684,152.83809,330.72,0.34,0.56,2024-09-16,251,N20,nominal,2.0NRT,295.61,2.07,D
-28.02076,152.84866,325.88,0.34,0.56,2024-09-16,251,N20,nominal,2.0NRT,292.68,2.01,D
-28.01528,152.85182,329.69,0.34,0.56,2024-09-16,251,N20,nominal,2.0NRT,293.53,2.67,D
-28.01686,152.83194,334.12,0.34,0.56,2024-09-16,251,N20,nominal,2.0NRT,297.42,2.6,D
-28.00506,152.84874,345.28,0.34,0.56,2024-09-16,251,N20,nominal,2.0NRT,295.04,3.4,D
-28.00535,152.84508,326.95,0.34,0.56,2024-09-16,251,N20,nominal,2.0NRT,294.82,3.4,D
-27.99994,152.84727,354.14,0.34,0.56,2024-09-16,251,N20,nominal,2.0NRT,298.28,3.4,D
-28.01595,152.83134,330.39,0.34,0.56,2024-09-16,251,N20,nominal,2.0NRT,297.44,1.88,D
-28.00403,152.84811,367.0,0.34,0.56,2024-09-16,251,N20,high,2.0NRT,297.75,3.21,D
-28.00434,152.84447,333.64,0.34,0.56,2024-09-16,251,N20,nominal,2.0NRT,296.44,3.21,D
-27.99892,152.84671,333.43,0.34,0.56,2024-09-16,251,N20,nominal,2.0NRT,295.86,3.21,D
-27.80906,152.33507,351.35,0.36,0.58,2024-09-16,251,N20,nominal,2.0NRT,298.04,5.8,D
-27.77776,152.32275,352.95,0.36,0.58,2024-09-16,251,N20,nominal,2.0NRT,299.94,6.95,D
-27.83162,151.151,344.33,0.43,0.62,2024-09-16,251,N20,nominal,2.0NRT,310.18,8.27,D
-27.83026,151.14915,354.87,0.43,0.62,2024-09-16,251,N20,nominal,2.0NRT,310.56,9.6,D
-27.68451,150.74472,337.39,0.46,0.63,2024-09-16,251,N20,nominal,2.0NRT,299.99,4.9,D
-27.67864,150.74426,334.36,0.46,0.63,2024-09-16,251,N20,nominal,2.0NRT,302.46,3.43,D
-27.36266,152.42433,329.98,0.35,0.57,2024-09-16,251,N20,nominal,2.0NRT,298.41,1.32,D
-27.21645,152.89734,353.77,0.33,0.55,2024-09-16,251,N20,nominal,2.0NRT,296.67,6.12,D
-27.12126,152.59012,367.0,0.34,0.56,2024-09-16,251,N20,high,2.0NRT,301.38,5.44,D
-27.12094,152.59393,339.73,0.34,0.56,2024-09-16,251,N20,nominal,2.0NRT,296.74,4.34,D
-27.12158,152.58633,340.53,0.34,0.56,2024-09-16,251,N20,nominal,2.0NRT,299.77,5.44,D
-27.15364,151.99492,345.89,0.38,0.58,2024-09-16,251,N20,nominal,2.0NRT,296.49,5.02,D
-27.15393,151.9912,347.72,0.38,0.58,2024-09-16,251,N20,nominal,2.0NRT,300.64,5.02,D
-27.15049,151.60229,367.0,0.4,0.6,2024-09-16,251,N20,high,2.0NRT,302.75,19.97,D
-27.15079,151.59827,348.21,0.4,0.6,2024-09-16,251,N20,nominal,2.0NRT,306.75,19.26,D
-27.15112,151.60016,367.0,0.4,0.6,2024-09-16,251,N20,high,2.0NRT,308.94,25.67,D
-27.03962,152.85039,332.53,0.33,0.55,2024-09-16,251,N20,nominal,2.0NRT,295.84,2.67,D
-27.03151,152.64572,367.0,0.34,0.56,2024-09-16,251,N20,high,2.0NRT,297.14,7.33,D
-27.02633,152.64508,367.0,0.34,0.56,2024-09-16,251,N20,high,2.0NRT,296.43,4.11,D
-27.02567,152.65268,328.9,0.34,0.56,2024-09-16,251,N20,nominal,2.0NRT,293.01,4.78,D
-27.02665,152.64136,331.0,0.34,0.56,2024-09-16,251,N20,nominal,2.0NRT,299.4,4.11,D
-26.9331,152.43642,330.02,0.35,0.57,2024-09-16,251,N20,nominal,2.0NRT,302.21,1.24,D
-26.9334,152.43277,329.38,0.35,0.57,2024-09-16,251,N20,nominal,2.0NRT,302.43,1.24,D
-26.93371,152.42909,336.79,0.35,0.57,2024-09-16,251,N20,nominal,2.0NRT,302.92,1.98,D
-27.04631,150.15392,334.0,0.49,0.65,2024-09-16,251,N20,nominal,2.0NRT,301.08,4.13,D
-27.04663,150.14893,339.07,0.49,0.65,2024-09-16,251,N20,nominal,2.0NRT,299.77,3.72,D
-27.04695,150.14395,330.84,0.49,0.65,2024-09-16,251,N20,nominal,2.0NRT,297.89,3.72,D
-27.04465,150.15039,348.9,0.49,0.65,2024-09-16,251,N20,nominal,2.0NRT,302.98,6.7,D
-27.04501,150.14542,354.32,0.49,0.65,2024-09-16,251,N20,nominal,2.0NRT,300.65,6.7,D
-26.86257,152.26923,328.54,0.36,0.57,2024-09-16,251,N20,nominal,2.0NRT,298.52,2.6,D
-26.86287,152.26567,339.92,0.36,0.57,2024-09-16,251,N20,nominal,2.0NRT,298.82,2.6,D
-26.85722,152.2692,367.0,0.36,0.57,2024-09-16,251,N20,high,2.0NRT,298.8,9.39,D
-26.85752,152.26569,367.0,0.36,0.57,2024-09-16,251,N20,high,2.0NRT,300.63,9.39,D
-26.85693,152.2726,355.18,0.36,0.57,2024-09-16,251,N20,nominal,2.0NRT,297.96,8.53,D
-26.85782,152.26207,351.65,0.36,0.57,2024-09-16,251,N20,nominal,2.0NRT,300.63,8.22,D
-26.80437,150.80162,367.0,0.44,0.63,2024-09-16,251,N20,high,2.0NRT,301.47,10.63,D
-26.80469,150.79713,338.71,0.44,0.63,2024-09-16,251,N20,nominal,2.0NRT,300.56,7.54,D
-26.80414,150.79994,367.0,0.44,0.63,2024-09-16,251,N20,high,2.0NRT,304.21,14.3,D
-26.59139,152.27986,337.89,0.36,0.57,2024-09-16,251,N20,nominal,2.0NRT,293.49,2.73,D
-26.60316,151.50726,331.62,0.4,0.6,2024-09-16,251,N20,nominal,2.0NRT,296.24,3.12,D
-26.50326,151.71996,334.09,0.38,0.59,2024-09-16,251,N20,nominal,2.0NRT,299.58,5.32,D
-26.50355,151.71617,339.94,0.39,0.59,2024-09-16,251,N20,nominal,2.0NRT,298.41,4.33,D
